,ceramic,Bi,La,Sr,Ca,Ti,Mg,Mn,Zr,Hf,T,thick,Eenergy_density,efficiency
0,BiLa-TiMgMnZr-O,0.9,0.1,0,0,0.45,0.45,0.05,0.05,0,500,160,7.14,57.62712
1,,0.9,0.1,0,0,0.45,0.45,0.05,0.05,0,550,160,25.32,81.88875
2,,0.9,0.1,0,0,0.45,0.45,0.05,0.05,0,600,160,53.83,56.55006
3,,0.9,0.1,0,0,0.45,0.45,0.05,0.05,0,650,160,48.83,64.98536
4,,0.9,0.1,0,0,0.45,0.45,0.05,0.05,0,700,160,55.29,64.38053
5,,0.9,0.1,0,0,0.4,0.4,0.1,0.1,0,500,160,12.12,50.24876
6,,0.9,0.1,0,0,0.4,0.4,0.1,0.1,0,550,160,46.94,42.10621
7,,0.9,0.1,0,0,0.4,0.4,0.1,0.1,0,600,160,57.33,36.4486
8,,0.9,0.1,0,0,0.4,0.4,0.1,0.1,0,650,160,42.42,48.2155
9,,0.9,0.1,0,0,0.4,0.4,0.1,0.1,0,700,160,34.27,45.83389
10,,0.9,0.1,0,0,0.35,0.35,0.15,0.15,0,500,160,11.22,48.9102
11,,0.9,0.1,0,0,0.35,0.35,0.15,0.15,0,550,160,25.45,50.36612
12,,0.9,0.1,0,0,0.35,0.35,0.15,0.15,0,600,160,34.57,39.79052
13,,0.9,0.1,0,0,0.35,0.35,0.15,0.15,0,650,160,42.91,42.84145
14,,0.9,0.1,0,0,0.3,0.3,0.2,0.2,0,500,160,9.52,53.24385
15,,0.9,0.1,0,0,0.3,0.3,0.2,0.2,0,550,160,16.11,44.62604
16,,0.9,0.1,0,0,0.3,0.3,0.2,0.2,0,600,160,36.21,32.24112
17,,0.9,0.1,0,0,0.3,0.3,0.2,0.2,0,650,160,11.58,42.66765
18,,0.9,0.1,0,0,0.25,0.25,0.25,0.25,0,500,160,9.08,29.91763
19,,0.9,0.1,0,0,0.25,0.25,0.25,0.25,0,550,160,6.33,39.61202
20,,0.9,0.1,0,0,0.25,0.25,0.25,0.25,0,600,160,8.85,42.81567
21,,0.9,0.1,0,0,0.25,0.25,0.25,0.25,0,650,160,1.4,82.84024
22,Bi-TiMgMn-O,1,0,0,0,0.45,0.45,0.05,0,0,600,160,30.83,34.39697
23,,1,0,0,0,0.45,0.45,0.1,0,0,550,160,15.63,40.77746
24,,1,0,0,0,0.45,0.45,0.1,0,0,600,160,16.94,37.71988
25,,1,0,0,0,0.45,0.45,0.15,0,0,600,160,45.92,36.03547
26,BiLa-TiMg-O,0.95,0.05,0,0,0.5,0.5,0,0,0,600,160,34.97,35.07171
27,,0.9,0.1,0,0,0.5,0.5,0,0,0,550,160,26.24,48.85496
28,,0.9,0.1,0,0,0.5,0.5,0,0,0,600,160,21.6,50.85943
29,,0.85,0.15,0,0,0.5,0.5,0,0,0,600,160,37.53,49.23904
30,Bi-TiMgZr-O,1,0,0,0,0.45,0.45,0,0.05,0,600,160,20.3,36.12742
31,,1,0,0,0,0.45,0.45,0,0.1,0,550,160,11.47,52.11268
32,,1,0,0,0,0.45,0.45,0,0.1,0,600,160,12.24,47.42348
33,,1,0,0,0,0.45,0.45,0,0.15,0,600,160,5.61,73.91304
34,BiLaSr-TiMgMnZr-O,0.869565217,0.086956522,0.043478261,0,0.4,0.4,0.1,0.1,0,550,160,26.66,64.96101
35,,0.869565217,0.086956522,0.043478261,0,0.4,0.4,0.1,0.1,0,600,160,50.13,50.40217
36,,0.869565217,0.086956522,0.043478261,0,0.4,0.4,0.1,0.1,0,650,160,37.93,48.26314
37,,0.869565217,0.086956522,0.043478261,0,0.4,0.4,0.1,0.1,0,550,160,12.09,67.80707
38,,0.869565217,0.086956522,0.043478261,0,0.4,0.4,0.1,0.1,0,600,160,31.41,54.82632
39,,0.869565217,0.086956522,0.043478261,0,0.4,0.4,0.1,0.1,0,650,160,29.92,56.49547
40,,0.94,0.03,0.03,0,0.4,0.4,0.1,0.1,0,600,160,28.14,43.46617
41,,0.94,0.03,0.03,0,0.4,0.4,0.1,0.1,0,620,160,38.06,49.31968
42,,0.94,0.03,0.03,0,0.35,0.35,0.15,0.15,0,600,160,21.78,53.55299
43,,0.94,0.03,0.03,0,0.35,0.35,0.15,0.15,0,620,160,12.82,43.59062
44,,0.92,0.04,0.04,0,0.4,0.4,0.1,0.1,0,600,160,17.91,54.20702
45,,0.92,0.04,0.04,0,0.4,0.4,0.1,0.1,0,620,160,36.37,44.37531
46,,0.92,0.04,0.04,0,0.35,0.35,0.15,0.15,0,600,160,14.95,50.5751
47,,0.92,0.04,0.04,0,0.35,0.35,0.15,0.15,0,620,160,27.13,46.22593
48,,0.9,0.05,0.05,0,0.4,0.4,0.1,0.1,0,600,160,87.29,42.86696
49,,0.9,0.05,0.05,0,0.4,0.4,0.1,0.1,0,650,160,74.42,43.26493
50,,0.9,0.05,0.05,0,0.4,0.4,0.1,0.1,0,700,160,62,42.24009
51,,0.9,0.05,0.05,0,0.35,0.35,0.15,0.15,0,600,160,22.24,49.09492
52,,0.9,0.05,0.05,0,0.35,0.35,0.15,0.15,0,650,160,54.58,39.98535
53,,0.9,0.05,0.05,0,0.35,0.35,0.15,0.15,0,700,160,36.7,51.38617
54,,0.9,0.05,0.05,0,0.35,0.35,0.1,0.1,0.1,600,160,22.91,68.94373
55,,0.9,0.05,0.05,0,0.35,0.35,0.1,0.1,0.1,620,160,13.12,70.76591
56,,0.9,0.05,0.05,0,0.35,0.35,0.1,0.1,0.1,650,160,25.93,34.14987
57,,0.95,0,0.05,0,0.5,0.5,0,0,0,600,160,19.43,37.82363
58,,0.9,0,0.1,0,0.5,0.5,0,0,0,600,160,15.94,38.38189
59,,0.85,0,0.15,0,0.5,0.5,0,0,0,600,160,14.26,48.95297
60,,0.9,0.05,0.05,0,0.4,0.4,0,0.1,0.1,600,160,41.95,71.47725
61,,0.9,0.05,0.05,0,0.4,0.4,0,0.1,0.1,620,160,36.97,52.25442
62,,0.9,0.05,0.05,0,0.4,0.4,0,0.1,0.1,650,160,15.39,75.18319
63,,0.9,0.05,0.05,0,0.4,0.4,0.1,0,0.1,600,160,53.82,46.49676
64,,0.9,0.05,0.05,0,0.4,0.4,0.1,0,0.1,620,160,46.6,40.56054
65,,0.9,0.05,0.05,0,0.4,0.4,0.1,0,0.1,650,160,38,44.01714
66,,0.9,0.1,0,0,0.4,0.4,0,0.1,0.1,600,120,33.74,52.58728
67,,0.9,0.1,0,0,0.4,0.4,0,0.1,0.1,650,120,21.92,61.24616
68,,0.9,0.1,0,0,0.4,0.4,0,0.1,0.1,700,120,10.21,51.2293
69,,0.9,0.1,0,0,0.7,0.1,0,0.1,0.1,600,120,32.65,75.02298
70,,0.9,0.1,0,0,0.7,0.1,0,0.1,0.1,650,120,23.97,44.29047
71,,0.9,0.1,0,0,0.7,0.1,0,0.1,0.1,700,120,23.52,66.85617
72,,0.9,0.1,0,0,0.61,0.13,0,0.13,0.13,600,120,13.51,74.43526
73,,0.9,0.1,0,0,0.61,0.13,0,0.13,0.13,650,120,15.68,80.7415
74,,0.9,0.1,0,0,0.61,0.13,0,0.13,0.13,700,120,26.25,67.84699
75,,0.9,0.05,0,0.05,0.4,0.4,0.1,0.1,0,600,120,23.58,53.73747
76,,0.9,0.05,0,0.05,0.4,0.4,0.1,0.1,0,650,120,36.45,34.29297
